"city","year","month","time","long","lat","site","Wind Speed - Resultant","Outdoor Temperature","Barometric pressure","Nitric oxide (NO)"
"Long Beach",2002,1,25,-118.18921,33.82376,"Long Beach (North)",4.73991938709677,25.3938171935484,NA,355.429153032258
"Long Beach",2002,2,26,-118.18921,33.82376,"Long Beach (North)",7.14062492857143,31.9300595357143,NA,348.405279571429
"Long Beach",2002,3,27,-118.18921,33.82376,"Long Beach (North)",9.11706987096774,21.8266129354839,NA,205.032258064516
"Long Beach",2002,4,28,-118.18921,33.82376,"Long Beach (North)",6.39194446666667,19.6821969333333,NA,101.945238035714
"Long Beach",2002,5,29,-118.18921,33.82376,"Long Beach (North)",5.73214119354839,27.2701613225806,NA,128.322843709677
"Long Beach",2002,6,30,-118.18921,33.82376,"Long Beach (North)",4.7788889,19.4805555333333,NA,44.2318841
"Long Beach",2002,7,31,-118.18921,33.82376,"Long Beach (North)",4.99206987096774,17.2809139354839,NA,97.5053154827586
"Long Beach",2002,8,32,-118.18921,33.82376,"Long Beach (North)",4.29327951612903,16.9184782258065,NA,96.8925005806452
"Long Beach",2002,9,33,-118.18921,33.82376,"Long Beach (North)",5.36666666666667,28.1027777666667,NA,245.4675085
"Long Beach",2002,10,34,-118.18921,33.82376,"Long Beach (North)",4.99817677419355,26.9814143870968,NA,206.421394774194
"Long Beach",2002,11,35,-118.18921,33.82376,"Long Beach (North)",5.50932966666667,28.9063405666667,NA,472.161198966667
"Long Beach",2002,12,36,-118.18921,33.82376,"Long Beach (North)",7.9375,20.579301,NA,279.1900966
"Long Beach",2003,1,37,-118.18921,33.82376,"Long Beach (North)",7.30403229032258,31.4045698064516,NA,378.252454483871
"Long Beach",2003,2,38,-118.18921,33.82376,"Long Beach (North)",9.16562503571429,14.8377975357143,NA,298.346273285714
"Long Beach",2003,3,39,-118.18921,33.82376,"Long Beach (North)",7.47943541935484,30.0443548709677,NA,236.457223032258
"Long Beach",2003,4,40,-118.18921,33.82376,"Long Beach (North)",7.45458333333333,27.5750000666667,NA,228.646376833333
"Long Beach",2003,5,41,-118.18921,33.82376,"Long Beach (North)",8.27701609677419,22.4959676774194,NA,108.935929137931
"Long Beach",2003,6,42,-118.18921,33.82376,"Long Beach (North)",4.0605556,17.5555555666667,NA,33.0713043333333
"Long Beach",2003,7,43,-118.18921,33.82376,"Long Beach (North)",4.95389790322581,16.3467741612903,NA,90.0434782580645
"Long Beach",2003,8,44,-118.18921,33.82376,"Long Beach (North)",4.96424725806452,21.3225806129032,NA,NA
"Long Beach",2003,9,45,-118.18921,33.82376,"Long Beach (North)",5.2545833,25.1652777666667,NA,85.3656899565217
"Long Beach",2003,10,46,-118.18921,33.82376,"Long Beach (North)",5.4883064516129,28.8306452258064,NA,413.906030967742
"Long Beach",2003,11,47,-118.18921,33.82376,"Long Beach (North)",5.53388886666667,26.4777778,NA,263.293926933333
"Long Beach",2003,12,48,-118.18921,33.82376,"Long Beach (North)",11.6057347096774,24.7647849677419,NA,464.447552967742
"Long Beach",2004,1,49,-118.18921,33.82376,"Long Beach (North)",6.38682148387097,24.5634408387097,NA,331.532449125
"Long Beach",2004,2,50,-118.18921,33.82376,"Long Beach (North)",10.6752781034483,19.9252873448276,NA,405.36603337931
"Long Beach",2004,3,51,-118.18921,33.82376,"Long Beach (North)",6.55021035483871,32.6290323225806,NA,237.298737774194
"Long Beach",2004,4,52,-118.18921,33.82376,"Long Beach (North)",9.45192964285714,36.0041666333333,NA,268.795780066667
"Long Beach",2004,5,53,-118.18921,33.82376,"Long Beach (North)",6.87379541935484,35.1827956451613,NA,201.582498
"Long Beach",2004,6,54,-118.18921,33.82376,"Long Beach (North)",5.2205556,15.7972222,NA,32.6913043
"Long Beach",2004,7,55,-118.18921,33.82376,"Long Beach (North)",5.54206996774193,18.0456989354839,NA,69.8765778064516
"Long Beach",2004,8,56,-118.18921,33.82376,"Long Beach (North)",4.73421935483871,18.6115590967742,NA,65.1542777096774
"Long Beach",2004,9,57,-118.18921,33.82376,"Long Beach (North)",NA,30.1041666,NA,215.159420233333
"Long Beach",2004,10,58,-118.18921,33.82376,"Long Beach (North)",8.98319893548387,17.8398199677419,NA,210.537995677419
"Long Beach",2004,11,59,-118.18921,33.82376,"Long Beach (North)",8.3008333,20.6716184333333,NA,293.851599833333
"Long Beach",2004,12,60,-118.18921,33.82376,"Long Beach (North)",10.3324002903226,28.8129032258065,NA,329.667601645161
"Long Beach",2005,1,61,-118.18921,33.82376,"Long Beach (North)",8.73682790322581,31.5215053870968,NA,227.253856935484
"Long Beach",2005,2,62,-118.18921,33.82376,"Long Beach (North)",10.9595645,20.9059601071429,NA,317.677143178571
"Long Beach",2005,3,63,-118.18921,33.82376,"Long Beach (North)",10.0783007096774,21.8319892903226,NA,186.389901870968
"Long Beach",2005,4,64,-118.18921,33.82376,"Long Beach (North)",7.29514016666667,23.9249999333333,NA,164.794598233333
"Long Beach",2005,5,65,-118.18921,33.82376,"Long Beach (North)",8.24992987096774,22.0954300967742,NA,137.662016258065
"Long Beach",2005,6,66,-118.18921,33.82376,"Long Beach (North)",4.9952778,19.1200758333333,NA,47.5195613666667
"Long Beach",2005,7,67,-118.18921,33.82376,"Long Beach (North)",6.05663861290323,22.1572580645161,NA,56.0897615483871
"Long Beach",2005,8,68,-118.18921,33.82376,"Long Beach (North)",5.41720435483871,23.133064483871,NA,51.3043478387097
"Long Beach",2005,9,69,-118.18921,33.82376,"Long Beach (North)",4.68331776666667,30.0777777666667,NA,254.975362233333
"Long Beach",2005,10,70,-118.18921,33.82376,"Long Beach (North)",5.80706161290323,30.9475806451613,NA,376.584852709677
"Long Beach",2005,11,71,-118.18921,33.82376,"Long Beach (North)",5.7568056,25.6944444,NA,282.794644833333
"Long Beach",2005,12,72,-118.18921,33.82376,"Long Beach (North)",5.09995077419355,24.2809139354839,NA,432.827242387097
"Long Beach",2006,1,73,-118.18921,33.82376,"Long Beach (North)",7.85470432258065,31.2016129032258,NA,299.177544096774
"Long Beach",2006,2,74,-118.18921,33.82376,"Long Beach (North)",6.29821428571429,32.9062501428571,NA,311.781055892857
"Long Beach",2006,3,75,-118.18921,33.82376,"Long Beach (North)",7.99180109677419,27.5860214516129,NA,180.382555290323
"Long Beach",2006,4,76,-118.18921,33.82376,"Long Beach (North)",10.9615277666667,21.6499999666667,NA,158.784058
"Long Beach",2006,5,77,-118.18921,33.82376,"Long Beach (North)",NA,18.8669355483871,NA,113.610623652174
"Long Beach",2006,6,78,-118.18921,33.82376,"Long Beach (North)",6.54388886666667,24.1458333333333,NA,72.5333333
"Long Beach",2006,7,79,-118.18921,33.82376,"Long Beach (North)",5.0067205483871,22.5819891935484,NA,60.563815
"Long Beach",2006,8,80,-118.18921,33.82376,"Long Beach (North)",6.05913983870968,18.5094086129032,NA,94.9203747741935
"Long Beach",2006,9,81,-118.18921,33.82376,"Long Beach (North)",6.1894445,24.4680555,NA,139.198550666667
"Long Beach",2006,10,82,-118.18921,33.82376,"Long Beach (North)",5.50510748387097,23.5604838387097,NA,217.929873903226
"Long Beach",2006,11,83,-118.18921,33.82376,"Long Beach (North)",5.7286111,32.5680555666667,NA,218.615942033333
"Long Beach",2006,12,84,-118.18921,33.82376,"Long Beach (North)",9.01739248387097,25.1922043548387,NA,299.96213183871
"Long Beach",2007,1,85,-118.18921,33.82376,"Long Beach (North)",7.95672048387097,32.1975806129032,NA,307.446028258065
"Long Beach",2007,2,86,-118.18921,33.82376,"Long Beach (North)",7.40924739285714,30.7336309642857,NA,209.543228071429
"Long Beach",2007,3,87,-118.18921,33.82376,"Long Beach (North)",10.141129,33.5645162258065,NA,192.75879516129
"Long Beach",2007,4,88,-118.18921,33.82376,"Long Beach (North)",13.4329166666667,18.9722222333333,NA,180.794202833333
"Long Beach",2007,5,89,-118.18921,33.82376,"Long Beach (North)",8.2396505483871,33.0913978709677,NA,153.80785416129
"Long Beach",2007,6,90,-118.18921,33.82376,"Long Beach (North)",6.7148233,17.0027777666667,NA,51.1571659
"Long Beach",2007,7,91,-118.18921,33.82376,"Long Beach (North)",5.07832461290323,18.6814515483871,NA,63.8469972903226
"Long Beach",2007,8,92,-118.18921,33.82376,"Long Beach (North)",5.12606522580645,20.133064483871,NA,139.134745516129
"Long Beach",2007,9,93,-118.18921,33.82376,"Long Beach (North)",5.0747222,30.6472222666667,NA,187.364808966667
"Long Beach",2007,10,94,-118.18921,33.82376,"Long Beach (North)",10.5273338064516,30.5470430967742,NA,266.900273064516
"Long Beach",2007,11,95,-118.18921,33.82376,"Long Beach (North)",4.9691667,29.9888889,NA,238.0435472
"Long Beach",2007,12,96,-118.18921,33.82376,"Long Beach (North)",7.84905919354839,23.8400537096774,NA,275.642730225806
"Long Beach",2008,1,97,-118.18921,33.82376,"Long Beach (North)",7.5250291,23.3239246774194,10.0591397741936,256.739865032258
"Long Beach",2008,2,98,-118.18921,33.82376,"Long Beach (North)",9.4636495862069,28.0862067586207,9.14655172413791,236.506596758621
"Long Beach",2008,3,99,-118.18921,33.82376,"Long Beach (North)",11.1275537741935,30.0860213870968,9.85483870967744,163.384133032258
"Long Beach",2008,4,100,-118.18921,33.82376,"Long Beach (North)",6.55101006666667,36.2361111333333,6.4722223,167.3747655
"Long Beach",2008,5,101,-118.18921,33.82376,"Long Beach (North)",10.7854839677419,32.274193516129,7.74865590322577,49.9023332258065
"Long Beach",2008,6,102,-118.18921,33.82376,"Long Beach (North)",4.06791663333333,30.1763889,5.97916663333331,80.9843874
"Long Beach",2008,7,103,-118.18921,33.82376,"Long Beach (North)",5.11706987096774,15.5994623548387,6.96102154838707,42.7240299032258
"Long Beach",2008,8,104,-118.18921,33.82376,"Long Beach (North)",5.25812887096774,16.1249999032258,6.98387096774195,47.5932678387097
"Long Beach",2008,9,105,-118.18921,33.82376,"Long Beach (North)",6.19614133333333,26.8763887666667,6.5527778666667,221.001123233333
"Long Beach",2008,10,106,-118.18921,33.82376,"Long Beach (North)",7.19379409677419,30.008064483871,10.4502687096774,252.244018
"Long Beach",2008,11,107,-118.18921,33.82376,"Long Beach (North)",11.8193331333333,25.9391304666667,7.41310383333337,288.3708827
"Long Beach",2008,12,108,-118.18921,33.82376,"Long Beach (North)",8.96705170967742,25.1532257096774,11.8219017419354,209.575035064516
"Long Beach",2009,1,109,-118.18921,33.82376,"Long Beach (North)",7.34546629032258,29.842742,12.1370967096774,273.457383903226
"Long Beach",2009,2,110,-118.18921,33.82376,"Long Beach (North)",11.2917224285714,30.4314182857143,8.14579439285717,185.862098678571
"Long Beach",2009,3,111,-118.18921,33.82376,"Long Beach (North)",13.7658692903226,24.6196236774194,8.1586021935484,158.729312741935
"Long Beach",2009,4,112,-118.18921,33.82376,"Long Beach (North)",NA,38.1527777333333,7.58623733333332,124.623402066667
"Long Beach",2009,5,113,-118.18921,33.82376,"Long Beach (North)",NA,23.883064483871,8.1975806774193,24.0065784516129
"Long Beach",2009,6,114,-118.18921,33.82376,"Long Beach (North)",NA,15.3138888333333,7.96111113333336,42.9683438
"Long Beach",2009,7,115,-118.18921,33.82376,"Long Beach (North)",NA,18.9595522580645,6.43279577419355,45.7964689354839
"Long Beach",2009,8,116,-118.18921,33.82376,"Long Beach (North)",NA,28.640886,5.56282275862065,174.620155677419
"Long Beach",2009,9,117,-118.18921,33.82376,"Long Beach (North)",NA,29.7426405,7.91013940000005,98.4987093214286
"Long Beach",2009,10,118,-118.18921,33.82376,"Long Beach (North)",NA,29.4878564516129,11.2831930967742,171.535185333333
"Long Beach",2009,11,119,-118.18921,33.82376,"Long Beach (North)",NA,25.2944444333333,8.58749999999998,203.836842633333
"Long Beach",2009,12,120,-118.18921,33.82376,"Long Beach (North)",NA,24.9489247096774,11.5645160967742,186.225041548387
"Long Beach",2010,1,121,-118.18921,33.82376,"Long Beach (North)",NA,24.2298387096774,10.4860608064516,349.264521354839
"Long Beach",2010,2,122,-118.18921,33.82376,"Long Beach (North)",NA,27.1547619285714,11.87797625,203.493841214286
"Long Beach",2010,3,123,-118.18921,33.82376,"Long Beach (North)",NA,27.6000001333333,9.54861106666669,149.432548766667
"Long Beach",2010,4,124,-118.18921,33.82376,"Long Beach (North)",NA,25.0311111,9.22738862962967,121.5024475
"Long Beach",2010,5,125,-118.18921,33.82376,"Long Beach (North)",NA,20.738978483871,10.6572027586207,18.7979146774194
"Long Beach",2010,6,126,-118.18921,33.82376,"Long Beach (North)",NA,13.9538888666667,6.76729239999997,18.2458454666667
"Long Beach",2010,7,127,-118.18921,33.82376,"Long Beach (North)",NA,24.6397849354839,5.8416666666667,42.2210202580645
"Long Beach",2010,8,128,-118.18921,33.82376,"Long Beach (North)",NA,24.322043,4.9034595483871,45.3737658387097
"Long Beach",2010,9,129,-118.18921,33.82376,"Long Beach (North)",NA,42.5709722333333,6.42700366666668,134.9224045
"Long Beach",2010,10,130,-118.18921,33.82376,"Long Beach (North)",NA,25.165999483871,6.00446861290322,189.958513612903
"Long Beach",2010,11,131,-118.18921,33.82376,"Long Beach (North)",NA,39.3550000333333,11.9569444333333,140.981773166667
"Long Beach",2010,12,132,-118.18921,33.82376,"Long Beach (North)",NA,32.2576930967742,8.99815083870965,266.162043516129
"Long Beach",2011,1,133,-118.18921,33.82376,"Long Beach (North)",NA,26.6542210967742,9.23653564516133,NA
"Long Beach",2011,2,134,-118.18921,33.82376,"Long Beach (North)",NA,27.2654550357143,13.9740727142857,164.2131749
"Long Beach",2011,3,135,-118.18921,33.82376,"Long Beach (North)",NA,32.4536686774194,7.60183425806451,133.779614322581
"Long Beach",2011,4,136,-118.18921,33.82376,"Long Beach (North)",NA,25.1255555666667,10.1875000666666,120.588728633333
"Long Beach",2011,5,137,-118.18921,33.82376,"Long Beach (North)",NA,30.6603494516129,10.7997311290322,71.1787857096774
"Long Beach",2011,6,138,-118.18921,33.82376,"Long Beach (North)",NA,16.7604761333333,7.24561403333337,21.8618759666667
"Long Beach",2011,7,139,-118.18921,33.82376,"Long Beach (North)",NA,18.4626344193548,7.33184196774198,46.4856932903226
"Long Beach",2011,8,140,-118.18921,33.82376,"Long Beach (North)",NA,19.5817203548387,5.55447728571426,37.0918388064516
"Long Beach",2011,9,141,-118.18921,33.82376,"Long Beach (North)",NA,28.8104167,6.50446856666667,78.3054257
"Long Beach",2011,10,142,-118.18921,33.82376,"Long Beach (North)",NA,37.4846774193548,6.84543009677418,165.797336903226
"Long Beach",2011,11,143,-118.18921,33.82376,"Long Beach (North)",NA,27.7026389666667,12.3486110333333,233.795011866667
"Long Beach",2011,12,144,-118.18921,33.82376,"Long Beach (North)",NA,24.3587365806452,14.8400537741935,187.182909548387
"Long Beach",2012,1,145,-118.18921,33.82376,"Long Beach (North)",NA,30.0836022258065,9.03225812903224,166.920185516129
"Long Beach",2012,2,146,-118.18921,33.82376,"Long Beach (North)",NA,24.9640741724138,10.4506705172414,142.312630551724
"Long Beach",2012,3,147,-118.18921,33.82376,"Long Beach (North)",NA,34.0524437096774,11.4959678064516,112.832563
"Long Beach",2012,4,148,-118.18921,33.82376,"Long Beach (North)",NA,24.4837922333333,8.4597825333334,90.6340886956522
"Long Beach",2012,5,149,-118.18921,33.82376,"Long Beach (North)",NA,15.3768938387097,6.85606051612899,NA
"Long Beach",2012,6,150,-118.18921,33.82376,"Long Beach (North)",NA,16.7952777666667,6.75653269999998,NA
"Long Beach",2012,7,151,-118.18921,33.82376,"Long Beach (North)",NA,19.5633063548387,4.83333329032257,49.8890078709677
"Long Beach",2012,8,152,-118.18921,33.82376,"Long Beach (North)",NA,20.6518817096774,7.35807125806457,NA
"Long Beach",2012,9,153,-118.18921,33.82376,"Long Beach (North)",NA,28.2879166333333,5.77918806666662,NA
"Long Beach",2012,10,154,-118.18921,33.82376,"Long Beach (North)",NA,25.9615591290323,9.7392473225807,NA
"Long Beach",2012,11,155,-118.18921,33.82376,"Long Beach (North)",NA,33.2529166333333,8.91944439999997,172.210448933333
"Long Beach",2012,12,156,-118.18921,33.82376,"Long Beach (North)",NA,20.2993279032258,9.44220432258066,131.907892419355
"Long Beach",2013,1,157,-118.18921,33.82376,"Long Beach (North)",NA,28.2437403870968,13.1390168387097,NA
"Long Beach",2013,2,158,-118.18921,33.82376,"Long Beach (North)",NA,26.1711018571429,9.50320514285715,NA
"Long Beach",2013,3,159,-118.18921,33.82376,"Long Beach (North)",NA,25.5907257419355,8.08467741935488,139.842171419355
"Long Beach",2013,4,160,-118.18921,33.82376,"Long Beach (North)",NA,21.0301388666667,8.1482489,78.3015151
"Long Beach",2013,5,161,-118.18921,33.82376,"Long Beach (North)",NA,25.0499999677419,5.23589932258062,88.48847152
"Long Beach",2013,6,162,-118.18921,33.82376,"Long Beach (North)",NA,17.5783333,5.08333330000005,42.803067
"Long Beach",2013,7,163,-118.18921,33.82376,"Long Beach (North)",NA,20.1723362258064,5.68643173076919,32.1501147096774
"Long Beach",2013,8,164,-118.18921,33.82376,"Long Beach (North)",NA,23.1212997096774,5.38721361290322,37.4972267741935
"Long Beach",2013,9,165,-118.18921,33.82376,"Long Beach (North)",NA,22.2411146666667,7.02864709999994,82.6727975
"Long Beach",2013,10,166,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
"Long Beach",2013,11,167,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
"Long Beach",2013,12,168,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
"Long Beach",2014,1,169,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
"Long Beach",2014,2,170,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
"Long Beach",2014,3,171,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
"Long Beach",2014,4,172,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
"Long Beach",2014,5,173,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
"Long Beach",2014,6,174,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
"Long Beach",2014,7,175,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
"Long Beach",2014,8,176,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
"Long Beach",2014,9,177,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
"Long Beach",2014,10,178,-118.18921,33.82376,"Long Beach (North)",NA,NA,NA,NA
